A,word,letter,reading,stated,r_exact,lambda2,inf_exact,inf,sup_exact,sup,verdict,literal_note,certificate,notes,bruteforce,data_ok,ndata
A283965,"0->1, 1->1010; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A283963 (1-based),"-1 < n*sqrt(3) - a(n) < 2, R = sqrt(3)",sqrt(3),-0.732050807569,-1+1/3*sqrt(3),-0.42264973081037423549085121949804254,1+1/3*sqrt(3),1.5773502691896257645091487805019575,PROVED,,,,"first 57735027 terms: min -0.41844041605 (n=23970475), max 1.572934537615 (n=37131179)",True,64
A283966(u),"0->1, 1->10101; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,"u(n) = position of n-th 0 in the word (literal ""# 0's <= n"" makes the statement trivially false)","-1 < n*r - u(n) < 3, R = (7+sqrt(17))/4",7/4+1/4*sqrt(17),-0.561552812809,-1/2,-0.5,5/4+1/4*sqrt(17),2.2807764064044151374553524639935193,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 35961180 terms: min -0.49960286166 (n=20011685), max 2.280069191818 (n=5618810)",True,86
A283966(v),"0->1, 1->10101; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,"v(n) = position of n-th 1 in the word (literal ""# 1's <= n"" makes the statement trivially false)","-1 < n*s - v(n) < 2, R = (-1+sqrt(17))/2",-1/2+1/2*sqrt(17),-0.561552812809,-7/4+1/4*sqrt(17),-0.71922359359558486254464753600648074,1/4+1/4*sqrt(17),1.2807764064044151374553524639935193,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 64038820 terms: min -0.71882645525 (n=10005843), max 1.280553392252 (n=35636337)",True,86
A283967,"0->1, 1->10101; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A283966 (1-based),"-1 < n*r - a(n) < 3, R = (7+sqrt(17))/4",7/4+1/4*sqrt(17),-0.561552812809,-1/2,-0.5,5/4+1/4*sqrt(17),2.2807764064044151374553524639935193,PROVED,,,,"first 35961180 terms: min -0.49960286166 (n=20011685), max 2.280069191818 (n=5618810)",True,59
A284015,"0->1, 1->10101; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A283966 (1-based),"-1 < n*s - a(n) < 2, R = (-1+sqrt(17))/2",-1/2+1/2*sqrt(17),-0.561552812809,-7/4+1/4*sqrt(17),-0.71922359359558486254464753600648074,1/4+1/4*sqrt(17),1.2807764064044151374553524639935193,PROVED,,,,"first 64038820 terms: min -0.71882645525 (n=10005843), max 1.280553392252 (n=35636337)",True,65
A284364(u),"0->1, 1->101010; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,"u(n) = position of n-th 0 in the word (literal ""# 0's <= n"" makes the statement trivially false)","-2 < n*r - u(n) < 2, R = (9+sqrt(21))/6",3/2+1/6*sqrt(21),-0.791287847478,-4/5-2/15*sqrt(21),-1.4110100926607786675450729591637345,6/5+1/5*sqrt(21),2.1165151389911680013176094387456017,FALSE: smallest violating n=8933313,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions","n=8933313, a(n)=20222898, n*r - a(n) = -13645857/2+2977771/2*sqrt(21) = 2.004872173326128847940057 (bounds -2 , 2)",,"first 44174243 terms: min -1.32266837067 (n=33868756), max 2.036659732964 (n=23526435); brute-force first violation: FIRST VIOLATION n=8933313 a(n)=20222898 D=2.004872173326128847940057323693",True,86
A284364(v),"0->1, 1->101010; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,"v(n) = position of n-th 1 in the word (literal ""# 1's <= n"" makes the statement trivially false)","-1 < n*s - v(n) < 2, R = (-1+sqrt(21))/2",-1/2+1/2*sqrt(21),-0.791287847478,-9/5+1/5*sqrt(21),-0.8834848610088319986823905612543983,6/5+1/5*sqrt(21),2.1165151389911680013176094387456017,FALSE: smallest violating n=2977771,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions","n=2977771, a(n)=5334043, n*r - a(n) = -13645857/2+2977771/2*sqrt(21) = 2.004872173326128847940057 (bounds -1 , 2)",,"first 55825757 terms: min -0.82029624866 (n=29731828), max 2.046611407957 (n=42802069); brute-force first violation: FIRST VIOLATION n=2977771 a(n)=5334043 D=2.004872173326128847940057322885",True,86
A284365,"0->1, 1->101010; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A284364 (1-based),"-2 < n*r - a(n) < 2, R = (9+sqrt(21))/6",3/2+1/6*sqrt(21),-0.791287847478,-4/5-2/15*sqrt(21),-1.4110100926607786675450729591637345,6/5+1/5*sqrt(21),2.1165151389911680013176094387456017,FALSE: smallest violating n=8933313,,"n=8933313, a(n)=20222898, n*r - a(n) = -13645857/2+2977771/2*sqrt(21) = 2.004872173326128847940057 (bounds -2 , 2)",,"first 44174243 terms: min -1.32266837067 (n=33868756), max 2.036659732964 (n=23526435); brute-force first violation: FIRST VIOLATION n=8933313 a(n)=20222898 D=2.004872173326128847940057323693",True,61
A284366,"0->1, 1->101010; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A284364 (1-based),"-1 < n*s - a(n) < 2, R = (-1+sqrt(21))/2",-1/2+1/2*sqrt(21),-0.791287847478,-9/5+1/5*sqrt(21),-0.8834848610088319986823905612543983,6/5+1/5*sqrt(21),2.1165151389911680013176094387456017,FALSE: smallest violating n=2977771,,"n=2977771, a(n)=5334043, n*r - a(n) = -13645857/2+2977771/2*sqrt(21) = 2.004872173326128847940057 (bounds -1 , 2)",,"first 55825757 terms: min -0.82029624866 (n=29731828), max 2.046611407957 (n=42802069); brute-force first violation: FIRST VIOLATION n=2977771 a(n)=5334043 D=2.004872173326128847940057322885",True,64
A284368(u),"0->1, 1->1011; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",0,"u(n) = position of n-th 0 in the word (literal ""# 0's <= n"" makes the statement trivially false)","1 < n*r - u(n) < 3, R = (5+sqrt(13))/2",5/2+1/2*sqrt(13),-0.302775637732,1/3+1/3*sqrt(13),1.5351837584879964310397404224901653,4/3+1/3*sqrt(13),2.5351837584879964310397404224901653,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 23240812 terms: min 1.535183800254 (n=2213522), max 2.535183745842 (n=7310765)",True,86
A284368(v),"0->1, 1->1011; start 0, K=10 (limit word = fixed point of sigma^1 from letter 1)",1,"v(n) = position of n-th 1 in the word (literal ""# 1's <= n"" makes the statement trivially false)","-1 < n*s - v(n) < 1, R = (-1+sqrt(13))/2",-1/2+1/2*sqrt(13),-0.302775637732,-5/3+1/3*sqrt(13),-0.46481624151200356896025957750983468,-2/3+1/3*sqrt(13),0.53518375848799643103974042249016532,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 23027756 terms: min -0.46481619974 (n=2213522), max 0.535183745842 (n=7310765)",True,86
A284369(u),"0->1, 1->1001; start 0, K=15 (limit word = fixed point of sigma^1 from letter 1)",0,"u(n) = position of n-th 0 in the word (literal ""# 0's <= n"" makes the statement trivially false)","-3 < n*r - u(n) < 4, R = (3+sqrt(3))/2",3/2+1/2*sqrt(3),-0.732050807569,-3/2-1/2*sqrt(3),-2.3660254037844386467637231707529362,2+sqrt(3),3.7320508075688772935274463415058724,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 12679492 terms: min -2.34744101181 (n=4071935), max 3.718446088422 (n=11124738)",True,86
A284369(v),"0->1, 1->1001; start 0, K=15 (limit word = fixed point of sigma^1 from letter 1)",1,"v(n) = position of n-th 1 in the word (literal ""# 1's <= n"" makes the statement trivially false)","-2 < n*s - v(n) < 3, R = sqrt(3)",sqrt(3),-0.732050807569,-2,-2.0,1+sqrt(3),2.7320508075688772935274463415058724,"BOUNDARY (holds; inf = lower bound, never attained)","literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 17320508 terms: min -1.99004065436 (n=15196672), max 2.718446088422 (n=5562369)",True,86
A284370,"0->1, 1->1001; start 0, K=15 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A284369 (1-based),"-3 < n*r - a(n) < 4, R = (3+sqrt(3))/2",3/2+1/2*sqrt(3),-0.732050807569,-3/2-1/2*sqrt(3),-2.3660254037844386467637231707529362,2+sqrt(3),3.7320508075688772935274463415058724,PROVED,,,,"first 12679492 terms: min -2.34744101181 (n=4071935), max 3.718446088422 (n=11124738)",True,61
A284371,"0->1, 1->1001; start 0, K=15 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A284369 (1-based),"-2 < n*sqrt(3) < 3, R = sqrt(3)",sqrt(3),-0.732050807569,-2,-2.0,1+sqrt(3),2.7320508075688772935274463415058724,"BOUNDARY (holds; inf = lower bound, never attained)","literal ""-2 < n*sqrt(3) < 3"" omits ""- a(n)""; literally false at n=2 (2*sqrt(3) > 3)",,,"first 17320508 terms: min -1.99004065436 (n=15196672), max 2.718446088422 (n=5562369)",True,64
A284386(u),"0->1, 1->1101; start 0, K=13 (limit word = fixed point of sigma^1 from letter 1)",0,"u(n) = position of n-th 0 in the word (literal ""# 0's <= n"" makes the statement trivially false)","0 < n*r - u(n) < 2, R = (5+sqrt(3))/2",5/2+1/2*sqrt(13),-0.302775637732,1/6+1/6*sqrt(13),0.76759187924399821551987021124508266,7/6+1/6*sqrt(13),1.7675918792439982155198702112450827,PROVED,"stated multiplier (5+sqrt(3))/2 ~ 3.36602540378 is not the density ratio r = 5/2+1/2*sqrt(13) ~ 4.30277563; literal statement first fails at n=2 (value -0.267949192); literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 6972244 terms: min 0.767591962776 (n=4427043), max 1.767591783066 (n=2883722)",True,86
A284386(v),"0->1, 1->1101; start 0, K=13 (limit word = fixed point of sigma^1 from letter 1)",1,"v(n) = position of n-th 1 in the word (literal ""# 1's <= n"" makes the statement trivially false)","-1 < n*s - v(n) < 1, R = (-1+sqrt(13))/2",-1/2+1/2*sqrt(13),-0.302775637732,-5/6+1/6*sqrt(13),-0.23240812075600178448012978875491734,1/6+1/6*sqrt(13),0.76759187924399821551987021124508266,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 23027756 terms: min -0.23240809163 (n=9524286), max 0.767591853952 (n=14621529)",True,86
A284505(u),"0->1, 1->1100; start 0, K=16 (limit word = fixed point of sigma^1 from letter 1)",0,"u(n) = position of n-th 0 in the word (literal ""# 0's <= n"" makes the statement trivially false)","-3 < n*r - u(n) < 4, R = (3+sqrt(3))/2",3/2+1/2*sqrt(3),-0.732050807569,-3/2-5/6*sqrt(3),-2.9433756729740644112728719512548936,2+2/3*sqrt(3),3.1547005383792515290182975610039149,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 12679492 terms: min -2.92086393687 (n=7283369), max 3.133241130971 (n=4701868)",True,86
A284505(v),"0->1, 1->1100; start 0, K=16 (limit word = fixed point of sigma^1 from letter 1)",1,"v(n) = position of n-th 1 in the word (literal ""# 1's <= n"" makes the statement trivially false)","-2 < n*s - v(n) < 4, R = sqrt(3)",sqrt(3),-0.732050807569,-1-1/3*sqrt(3),-1.5773502691896257645091487805019575,2+2/3*sqrt(3),3.1547005383792515290182975610039149,PROVED,"literal ""u(n) = # 0s <= n"" (v: # 1s) makes the statement trivially false; intended u/v = positions",,,"first 17320508 terms: min -1.56164089266 (n=6422869), max 3.138220803790 (n=9949270)",True,86
A284506,"0->1, 1->1100; start 0, K=16 (limit word = fixed point of sigma^1 from letter 1)",0,a(n) = position of n-th 0 in A284505 (1-based),"-3 < n*r - a(n) < 4, R = (3+sqrt(3))/2",3/2+1/2*sqrt(3),-0.732050807569,-3/2-5/6*sqrt(3),-2.9433756729740644112728719512548936,2+2/3*sqrt(3),3.1547005383792515290182975610039149,PROVED,,,,"first 12679492 terms: min -2.92086393687 (n=7283369), max 3.133241130971 (n=4701868)",True,61
A284507,"0->1, 1->1100; start 0, K=16 (limit word = fixed point of sigma^1 from letter 1)",1,a(n) = position of n-th 1 in A284505 (1-based),"-2 < n*sqrt(3) - a(n) < 4, R = sqrt(3)",sqrt(3),-0.732050807569,-1-1/3*sqrt(3),-1.5773502691896257645091487805019575,2+2/3*sqrt(3),3.1547005383792515290182975610039149,PROVED,,,,"first 17320508 terms: min -1.56164089266 (n=6422869), max 3.138220803790 (n=9949270)",True,64
A284654,"0->1, 1->0110; start 0, K=6 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A284653 (1-based),"-1 < n*r - a(n) < 3, R = (3+sqrt(3))/2",3/2+1/2*sqrt(3),-0.732050807569,-1,-1.0,3/2+1/2*sqrt(3),2.3660254037844386467637231707529362,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 12679492 terms: min -0.98821796760 (n=9634304), max 2.359223044211 (n=5562369)",True,61
A284655,"0->1, 1->0110; start 0, K=6 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A284653 (1-based),"-1 < n*sqrt(3) - a(n) < 2, R = sqrt(3)",sqrt(3),-0.732050807569,-1,-1.0,sqrt(3),1.7320508075688772935274463415058724,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 17320508 terms: min -0.99502032718 (n=7598336), max 1.723425761241 (n=13160705)",True,64
A284657,"0->1, 1->0110; start 0, K=7 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A284656 (1-based),"-1 < n*r - a(n) < 3, R = (3+sqrt(3))/2",3/2+1/2*sqrt(3),-0.732050807569,-1,-1.0,3/2+1/2*sqrt(3),2.3660254037844386467637231707529362,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 12679492 terms: min -0.99070780401 (n=2035968), max 2.352420684637 (n=11124737)",True,61
A284658,"0->1, 1->0110; start 0, K=7 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A284656 (1-based),"-1 < n*sqrt(3) - a(n) < 2, R = sqrt(3)",sqrt(3),-0.732050807569,-1,-1.0,sqrt(3),1.7320508075688772935274463415058724,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 17320508 terms: min -0.99004065436 (n=15196672), max 1.725248447995 (n=2781185)",True,64
A284675,"0->1, 1->0111; start 0, K=6 (limit word = fixed point of sigma^2 from letter 0)",0,a(n) = position of n-th 0 in A284674 (1-based),"2 < n*r - a(n) < 4, R = (5+sqrt(13))/2",5/2+1/2*sqrt(13),-0.302775637732,1/2+1/2*sqrt(13),2.302775637731994646559610633735248,3/2+1/2*sqrt(13),3.302775637731994646559610633735248,PROVED,,,,"first 6972244 terms: min 2.302775763030 (n=6640565), max 3.302775637731 (n=1)",True,57
A284676,"0->1, 1->0111; start 0, K=6 (limit word = fixed point of sigma^2 from letter 0)",1,a(n) = position of n-th 1 in A284674 (1-based),"-1 < n*r - a(n) < 4, R = (-1+sqrt(13))/2",-1/2+1/2*sqrt(13),-0.302775637732,-5/2+1/2*sqrt(13),-0.69722436226800535344038936626475203,-3/2+1/2*sqrt(13),0.30277563773199464655961063373524797,PROVED,,,,"first 23027756 terms: min -0.69722436226 (n=1), max 0.302775599794 (n=21932294)",True,66
A284678,"0->1, 1->0111; start 0, K=7 (limit word = fixed point of sigma^2 from letter 1)",0,a(n) = position of n-th 0 in A284677 (1-based),"2 < n*r - a(n) < 4, R = (5+sqrt(13))/2",5/2+1/2*sqrt(13),-0.302775637732,1/2+1/2*sqrt(13),2.302775637731994646559610633735248,3/2+1/2*sqrt(13),3.302775637731994646559610633735248,PROVED,,,,"first 6972244 terms: min 2.302775637731 (n=1), max 3.302775583320 (n=5097244)",True,57
A284679,"0->1, 1->0111; start 0, K=7 (limit word = fixed point of sigma^2 from letter 1)",1,a(n) = position of n-th 1 in A284677 (1-based),"-1 < n*r - a(n) < 1, R = (-1+sqrt(13))/2",-1/2+1/2*sqrt(13),-0.302775637732,-5/2+1/2*sqrt(13),-0.69722436226800535344038936626475203,-3/2+1/2*sqrt(13),0.30277563773199464655961063373524797,PROVED,,,,"first 23027756 terms: min -0.69722434579 (n=16835051), max 0.302775637731 (n=1)",True,66
A284752,"0->01, 1->0001; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",0,a(n) = position of n-th 0 in A284751 (1-based),"-1 < n*r - a(n) < 3, R = (3+sqrt(3))/3",1+1/3*sqrt(3),-0.732050807569,-1,-1.0,1+2/3*sqrt(3),2.1547005383792515290182975610039149,"BOUNDARY (holds; inf = lower bound, never attained)",,,,"first 19019238 terms: min -0.99214531173 (n=9634304), max 2.143970834675 (n=3526402)",True,65
A284753,"0->01, 1->0001; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284751 (1-based),"-2 < n*r - a(n) < 3, R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-2,-2.0,1+sqrt(3),2.7320508075688772935274463415058724,"BOUNDARY (holds; inf = lower bound, never attained)",,,"Entry already cites a proof (Fokkink-Joshi, Theorem 19).","first 10980762 terms: min -1.98141560803 (n=2035968), max 2.718446088422 (n=5562369)",True,59
A284773,"0->01, 1->0010; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",0,a(n) = position of n-th 0 in A284772 (1-based),"-1 < n*r - a(n) < 2, R = (3+sqrt(3))/3",1+1/3*sqrt(3),-0.732050807569,-1/3,-0.33333333333333333333333333333333333,2/3+1/3*sqrt(3),1.2440169358562924311758154471686241,PROVED,,,,"first 19019238 terms: min -0.33001355145 (n=15196672), max 1.239482029474 (n=5562369)",True,65
A284774,"0->01, 1->0010; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284772 (1-based),"-1 < n*r - a(n) < 2, R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-1+1/3*sqrt(3),-0.42264973081037423549085121949804254,1+1/3*sqrt(3),1.5773502691896257645091487805019575,PROVED,,,,"first 10980762 terms: min -0.41479504254 (n=3211435), max 1.571600238304 (n=8773803)",True,59
A284852,"0->01, 1->0100; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",0,a(n) = position of n-th 0 in A284851 (1-based),"-2 < n*r - a(n) < 2, R = (3+sqrt(3))/3",1+1/3*sqrt(3),-0.732050807569,-2/3-1/3*sqrt(3),-1.2440169358562924311758154471686241,4/3+1/3*sqrt(3),1.9106836025229590978424821138352908,PROVED,,,,"first 19019238 terms: min -1.23450235665 (n=17232639), max 1.901613789758 (n=11124737)",True,65
A284853,"0->01, 1->0100; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284851 (1-based),"-2 < n*r - a(n) < 4, R = 1+sqrt(3)",1+sqrt(3),-0.732050807569,-1-1/3*sqrt(3),-1.5773502691896257645091487805019575,2+2/3*sqrt(3),3.1547005383792515290182975610039149,PROVED,,,,"first 10980762 terms: min -1.56164089266 (n=6422869), max 3.138220803790 (n=9949270)",True,59
A284894,"0->01, 1->0111; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",0,a(n) = position of n-th 0 in A284893 (1-based),"2 < n*r - a(n) < 6, R = 2 + sqrt(2)",2+sqrt(2),0.585786437627,1+sqrt(2),2.4142135623730950488016887242096981,3+2*sqrt(2),5.8284271247461900976033774484193962,PROVED,,,Entry proves only boundedness (weak form).,"first 8786797 terms: min 2.414213562373 (n=1), max 5.826514450289 (n=6057090)",True,58
A284895,"0->01, 1->0111; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284893 (1-based),"0 < a(n) - n*sqrt(2) < 1, R = sqrt(2)",sqrt(2),0.585786437627,-2,-2.0,0,0.0,FALSE: smallest violating n=2,,"n=2, a(n)=4, n*r - a(n) = -4+2*sqrt(2) = -1.171572875253809902396623 (bounds -1 , 0)",Entry (Dekking 2018) already notes the first inequality is false at n=2 and suggests 0 < a(n)-n*sqrt(2) < 2.,"first 21213203 terms: min -1.99920774429 (n=14623104), max -0.00056020937 (n=10340096)",True,66
A284895,"0->01, 1->0111; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284893 (1-based),"0 < a(n) - n*sqrt(2) < 2, R = sqrt(2)",sqrt(2),0.585786437627,-2,-2.0,0,0.0,"BOUNDARY (holds; inf = lower bound, sup = upper bound, never attained)",,,Second inequality is Dekking's suggested corrected conjecture Entry (Dekking 2018) already notes the first inequality is false at n=2 and suggests 0 < a(n)-n*sqrt(2) < 2.,"first 21213203 terms: min -1.99920774429 (n=14623104), max -0.00056020937 (n=10340096)",True,66
A284902,"0->01, 1->1000; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",0,a(n) = position of n-th 0 in A284901 (1-based),"-3 < n*r - a(n) < 3, R = (3+sqrt(3))/3",1+1/3*sqrt(3),-0.732050807569,-4/3-2/3*sqrt(3),-2.4880338717125848623516308943372482,5/3+2/3*sqrt(3),2.8213672050459181956849642276705816,PROVED,,,"Mathematica %t uses morphism 01,0011 but %N says 01,1000; %N used (matches data)","first 19019237 terms: min -2.46718202655 (n=3326718), max 2.806102594959 (n=9088770)",True,66
A284903,"0->01, 1->1000; start 0, K=6 (limit word = fixed point of sigma^1 from letter 0)",1,a(n) = position of n-th 1 in A284901 (1-based),"-4 < n*r - a(n) < 6, R = 1 + sqrt(3)",1+sqrt(3),-0.732050807569,-2-2/3*sqrt(3),-3.1547005383792515290182975610039149,3+4/3*sqrt(3),5.3094010767585030580365951220078298,PROVED,,,"Mathematica %t uses morphism 01,0011 but %N says 01,1000; %N used (matches data)","first 10980763 terms: min -3.12826145815 (n=5247402), max 5.273284621515 (n=1920684)",True,59
